quarter_date,strat,ticker,rank_in_strat,score_level2,selected_reason,pair_corr,score_gap_vs_top1,active_review_date,switch_flag,switch_reason,ter_pct,ter_dec,nom,label
2024-07-01,STRAT1,ALLVOSI LX Equity,2,0.9073404447834276,top2_diversified,-0.0512986165487915,0.2388740104572159,2024-02-01,0,same_ticker,0.7,0.006999999999999999,ALLIANZ-VOLATILITY STR-I,ALLIANZ-VOLATILITY STR-I
2024-07-01,STRAT2,BGTFDLX LX Equity,1,1.4516363023694658,top1,,0.0,2024-02-01,1,better_score,1.47,0.0147,LUX IM-PICTET FUT TRE-DXL EA,LUX IM-PICTET FUT TRE-DXL EA
2024-07-01,STRAT2,CARPPFE LX Equity,2,1.1106005455432788,top2_diversified,0.11229258090095982,0.34103575682618703,2024-02-01,1,deduplicate,1.15,0.0115,CARMIGNAC L/S EU EQ-F EUR,CARMIGNAC L/S EU EQ-F EUR
2024-07-01,STRAT3,DISFCPE LX Equity,1,1.074016361822221,top1,,0.0,2024-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
2024-07-01,STRAT3,TWCBIEA ID Equity,2,0.8234144495579375,top2_diversified,-0.1283489010465395,0.2506019122642834,2024-02-01,0,same_ticker,1.13,0.0113,Twelve Cat Bond,Twelve Cat Bond
2024-08-01,STRAT1,UIATHNA GR Equity,1,1.1553064413065703,top1,,0.0,2024-02-01,0,same_ticker,1.23,0.0123,ATHENA UI,ATHENA UI
2024-08-01,STRAT1,ALLVOSI LX Equity,2,0.9093896395343956,top2_diversified,-0.06494116178290021,0.2459168017721748,2024-02-01,0,same_ticker,0.7,0.006999999999999999,ALLIANZ-VOLATILITY STR-I,ALLIANZ-VOLATILITY STR-I
2024-08-01,STRAT2,PRAEEMA LX Equity,1,1.1665481624190097,top1,,0.0,2024-02-01,1,better_score,1.55,0.0155,PRVED-AMBER EVT EUR-EUR MA,PRVED-AMBER EVT EUR-EUR MA
2024-08-01,STRAT2,BGTFDLX LX Equity,2,0.9642798277255857,top2_diversified,-0.006487846695926963,0.20226833469342398,2024-02-01,1,better_score,1.47,0.0147,LUX IM-PICTET FUT TRE-DXL EA,LUX IM-PICTET FUT TRE-DXL EA
2024-08-01,STRAT3,DISFCPE LX Equity,1,1.0309534017638098,top1,,0.0,2024-02-01,0,same_ticker,1.11,0.0111,DANSKE INV FX IN GL VAL-CPEC,DANSKE INV FX IN GL VAL-CPEC
