,AEABSIA ID Equity
2023-09-19,-0.005485910141552509
2023-09-20,-0.0057419283347713585
2023-09-21,-0.0071628361831186866
2023-09-22,-0.005529226330438851
2023-09-26,-0.005353500096331915
2023-09-27,0.00042780197989394914
2023-09-28,0.0004775182092362459
2023-09-29,0.0019432569936457058
2023-10-03,0.003327067501391098
2023-10-04,0.0013202600009613412
2023-10-05,0.0017617372425270895
2023-10-06,0.001386053890289308
2023-10-10,-0.002363864196286896
2023-10-11,-0.0028922222200964817
2023-10-12,-0.002523686931049662
2023-10-13,-0.0031667149227834384
2023-10-17,-0.0026041197397567084
2023-10-18,-0.0017478606747441561
2023-10-19,-0.0023666634322267797
2023-10-20,-0.002029525206694814
2023-10-24,-0.0019529006899912712
2023-10-25,-0.002622209511487129
2023-10-26,-0.002963990761632782
2023-10-27,-0.0038630912928446473
2023-10-31,-0.003058402146742919
2023-11-01,-0.003249061253846224
2023-11-02,-0.00403701117550961
2023-11-03,-0.00457621769048042
2023-11-07,-0.00363135040845071
2023-11-08,-0.003092230351397408
2023-11-09,-0.0033424204969436547
2023-11-10,-0.003549627416455751
2023-11-14,-0.002938072689390683
2023-11-15,-0.002846836993286856
2023-11-16,-0.002979265252145981
2023-11-17,-0.0032647443695881214
2023-11-21,-0.004462624791544981
2023-11-22,-0.0044467272359036605
2023-11-23,-0.004185238089960935
2023-11-24,-0.004373162318696939
2023-11-28,-0.004372742089734192
2023-11-29,-0.0038706187128778875
2023-11-30,-0.003588483923841915
2023-12-01,-0.002953385434726927
2023-12-05,-0.003286525204891613
2023-12-06,-0.0034216613754099196
2023-12-07,-0.00401773975291495
2023-12-08,-0.004345147550165427
2023-12-12,-0.004803251185122041
2023-12-13,-0.003975085697919462
2023-12-14,-0.00067079238466617
2023-12-15,-9.09890228595986e-05
2023-12-19,-0.00013111006405719147
2023-12-20,0.0023590800053536706
2023-12-21,-0.007922946053981568
2023-12-22,0.0001641137710964463
2023-12-28,0.01669523447851754
2023-12-29,0.01584306680094542
2024-01-03,0.01600256059095097
2024-01-04,0.013217880047869076
2024-01-05,0.013713729645315458
2024-01-09,0.01314823829193228
2024-01-10,0.013356116393751566
2024-01-11,0.013231410596407964
2024-01-12,0.014576911425928794
2024-01-16,0.014711655020203673
2024-01-17,0.015399124022823963
2024-01-18,0.015522151683456581
2024-01-19,0.015441359182577412
2024-01-23,0.015621030391392952
2024-01-24,0.015260376152870092
2024-01-25,0.014705585232460688
